Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
JC_commercialDoorV2Grey_NoBarricade,blocks,block,,,Gray Commercial Door V2 (No Barricade),,Graue Industrietür V2 (Ohne Barrikade),Puerta comercial Gris V2 (Sin Barricada),Porte de commerce Grishe V2 (Sans Barrière),Porta di emergenza Grigio V2 (Senza Barriera),業務用ドア V2（灰色） (バリケードなし),회색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – Szary (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Серый промышленная дверь V2 (Без Баррикады),Gri Ticari Kapı V2 (Barikat Yok),灰色商业门 V2 (无障碍),灰色商業門 V2 (無障礙)
JC_commercialDoorV2Oak_NoBarricade,blocks,block,,,White Commercial Door V2 (No Barricade),,Weiße Industrietür V2 (Ohne Barrikade),Puerta comercial blanca V2 (Sin Barricada),Porte de commerce blanche V2 (Sans Barrière),Porta di emergenza bianca V2 (Senza Barriera),業務用ドア V2（白） (バリケードなし),흰색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – białe (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Белая промышленная дверь V2 (Без Баррикады),Beyaz Ticari Kapı V2 (Barikat Yok),白色商业门 V2 (无障碍),白色商業門 V2 (無障礙)
JC_commercialDoorV2Orange_NoBarricade,blocks,block,,,Orange Commercial Door V2 (No Barricade),,Orangee Industrietür V2 (Ohne Barrikade),Puerta comercial Naranja V2 (Sin Barricada),Porte de commerce Orangehe V2 (Sans Barrière),Porta di emergenza Arancione V2 (Senza Barriera),業務用ドア V2（オレンジ） (バリケードなし),오렌지색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – Pomarańczowy (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Оранжевый промышленная дверь V2 (Без Баррикады),Turuncu Ticari Kapı V2 (Barikat Yok),橙色商业门 V2 (无障碍),橙色商業門 V2 (無障礙)
JC_commercialDoorV2Pink_NoBarricade,blocks,block,,,Pink Commercial Door V2 (No Barricade),,Rosae Industrietür V2 (Ohne Barrikade),Puerta comercial Rosa V2 (Sin Barricada),Porte de commerce Rosehe V2 (Sans Barrière),Porta di emergenza Rosa V2 (Senza Barriera),業務用ドア V2（ピンク） (バリケードなし),분홍색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – Różowy (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Розовый промышленная дверь V2 (Без Баррикады),Pembe Ticari Kapı V2 (Barikat Yok),粉色商业门 V2 (无障碍),粉紅色商業門 V2 (無障礙)
JC_commercialDoorV2Purple_NoBarricade,blocks,block,,,Purple Commercial Door V2 (No Barricade),,Lilae Industrietür V2 (Ohne Barrikade),Puerta comercial Púrpura V2 (Sin Barricada),Porte de commerce Violethe V2 (Sans Barrière),Porta di emergenza Viola V2 (Senza Barriera),業務用ドア V2（紫） (バリケードなし),보라색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – Fioletowy (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Фиолетовый промышленная дверь V2 (Без Баррикады),Mor Ticari Kapı V2 (Barikat Yok),紫色商业门 V2 (无障碍),紫色商業門 V2 (無障礙)
JC_commercialDoorV2Red_NoBarricade,blocks,block,,,Red Commercial Door V2 (No Barricade),,Rote Industrietür V2 (Ohne Barrikade),Puerta comercial Rojo V2 (Sin Barricada),Porte de commerce Rougehe V2 (Sans Barrière),Porta di emergenza Rosso V2 (Senza Barriera),業務用ドア V2（赤） (バリケードなし),빨간색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – Czerwony (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Красный промышленная дверь V2 (Без Баррикады),Kırmızı Ticari Kapı V2 (Barikat Yok),红色商业门 V2 (无障碍),紅色商業門 V2 (無障礙)
JC_commercialDoorV2White_NoBarricade,blocks,block,,,White Commercial Door V2 (No Barricade),,Weiße Industrietür V2 (Ohne Barrikade),Puerta comercial Blanco V2 (Sin Barricada),Porte de commerce Blanche V2 (Sans Barrière),Porta di emergenza Bianco V2 (Senza Barriera),業務用ドア V2（白） (バリケードなし),흰색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – Biały (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Белый промышленная дверь V2 (Без Баррикады),Beyaz Ticari Kapı V2 (Barikat Yok),白色商业门 V2 (无障碍),白色商業門 V2 (無障礙)
JC_commercialDoorV2Yellow_NoBarricade,blocks,block,,,Yellow Commercial Door V2 (No Barricade),,Gelbe Industrietür V2 (Ohne Barrikade),Puerta comercial Amarillo V2 (Sin Barricada),Porte de commerce Jaunehe V2 (Sans Barrière),Porta di emergenza Giallo V2 (Senza Barriera),業務用ドア V2（黄色） (バリケードなし),노란색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – Żółty (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Жёлтый промышленная дверь V2 (Без Баррикады),Sarı Ticari Kapı V2 (Barikat Yok),黄色商业门 V2 (无障碍),黃色商業門 V2 (無障礙)
JC_commercialDoorV2_NoBarricadeBlockVariantHelper,blocks,block,,,Commercial Door V2 (No Barricade),,Weiße Industrietür V2 (Ohne Barrikade),Puerta comercial blanca V2 (Sin Barricada),Porte de commerce blanche V2 (Sans Barrière),Porta di emergenza bianca V2 (Senza Barriera),業務用ドア V2（白） (バリケードなし),흰색 상업용 문 V2 (방어막 없음),Drzwi przedsiębiorstwa V2 – białe (Bez Wzmocnienia),Porta comercial branca V2 (Sem Barreira),Белая промышленная дверь V2 (Без Баррикады),Beyaz Ticari Kapı V2 (Barikat Yok),白色商业门 V2 (无障碍),白色商業門 V2 (無障礙)
JC_commercialDoorV3Blue_NoBarricade,blocks,block,,,Blue Commercial Door V3 (No Barricade),,Blaue Industrietür V3 (Ohne Barrikade),Puerta comercial Azul V3 (Sin Barricada),Porte de commerce Bleuhe V3 (Sans Barrière),Porta di emergenza Blu V3 (Senza Barriera),業務用ドア V3（青） (バリケードなし),파란색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Niebieski (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Синий промышленная дверь V3 (Без Баррикады),Mavi Ticari Kapı V3 (Barikat Yok),蓝色商业门 V3 (无障碍),藍色商業門 V3 (無障礙)
JC_commercialDoorV3Brown_NoBarricade,blocks,block,,,Brown Commercial Door V3 (No Barricade),,Braune Industrietür V3 (Ohne Barrikade),Puerta comercial Marrón V3 (Sin Barricada),Porte de commerce Marronhe V3 (Sans Barrière),Porta di emergenza Marrone V3 (Senza Barriera),業務用ドア V3（茶色） (バリケードなし),갈색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Brązowy (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Коричневый промышленная дверь V3 (Без Баррикады),Kahverengi Ticari Kapı V3 (Barikat Yok),棕色商业门 V3 (无障碍),棕色商業門 V3 (無障礙)
JC_commercialDoorV3Green_NoBarricade,blocks,block,,,Green Commercial Door V3 (No Barricade),,Grüne Industrietür V3 (Ohne Barrikade),Puerta comercial Verde V3 (Sin Barricada),Porte de commerce Verthe V3 (Sans Barrière),Porta di emergenza Verde V3 (Senza Barriera),業務用ドア V3（緑） (バリケードなし),초록색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Zielony (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Зелёный промышленная дверь V3 (Без Баррикады),Yeşil Ticari Kapı V3 (Barikat Yok),绿色商业门 V3 (无障碍),綠色商業門 V3 (無障礙)
JC_commercialDoorV3Grey_NoBarricade,blocks,block,,,Gray Commercial Door V3 (No Barricade),,Graue Industrietür V3 (Ohne Barrikade),Puerta comercial Gris V3 (Sin Barricada),Porte de commerce Grishe V3 (Sans Barrière),Porta di emergenza Grigio V3 (Senza Barriera),業務用ドア V3（灰色） (バリケードなし),회색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Szary (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Серый промышленная дверь V3 (Без Баррикады),Gri Ticari Kapı V3 (Barikat Yok),灰色商业门 V3 (无障碍),灰色商業門 V3 (無障礙)
JC_commercialDoorV3Oak_NoBarricade,blocks,block,,,White Commercial Door V3 (No Barricade),,Weiße Industrietür V3 (Ohne Barrikade),Puerta comercial blanca V3 (Sin Barricada),Porte de commerce blanche V3 (Sans Barrière),Porta di emergenza bianca V3 (Senza Barriera),業務用ドア V3（白） (バリケードなし),흰색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – białe (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Белая промышленная дверь V3 (Без Баррикады),Beyaz Ticari Kapı V3 (Barikat Yok),白色商业门 V3 (无障碍),白色商業門 V3 (無障礙)
JC_commercialDoorV3Orange_NoBarricade,blocks,block,,,Orange Commercial Door V3 (No Barricade),,Orangee Industrietür V3 (Ohne Barrikade),Puerta comercial Naranja V3 (Sin Barricada),Porte de commerce Orangehe V3 (Sans Barrière),Porta di emergenza Arancione V3 (Senza Barriera),業務用ドア V3（オレンジ） (バリケードなし),오렌지색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Pomarańczowy (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Оранжевый промышленная дверь V3 (Без Баррикады),Turuncu Ticari Kapı V3 (Barikat Yok),橙色商业门 V3 (无障碍),橙色商業門 V3 (無障礙)
JC_commercialDoorV3Pink_NoBarricade,blocks,block,,,Pink Commercial Door V3 (No Barricade),,Rosae Industrietür V3 (Ohne Barrikade),Puerta comercial Rosa V3 (Sin Barricada),Porte de commerce Rosehe V3 (Sans Barrière),Porta di emergenza Rosa V3 (Senza Barriera),業務用ドア V3（ピンク） (バリケードなし),분홍색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Różowy (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Розовый промышленная дверь V3 (Без Баррикады),Pembe Ticari Kapı V3 (Barikat Yok),粉色商业门 V3 (无障碍),粉紅色商業門 V3 (無障礙)
JC_commercialDoorV3Purple_NoBarricade,blocks,block,,,Purple Commercial Door V3 (No Barricade),,Lilae Industrietür V3 (Ohne Barrikade),Puerta comercial Púrpura V3 (Sin Barricada),Porte de commerce Violethe V3 (Sans Barrière),Porta di emergenza Viola V3 (Senza Barriera),業務用ドア V3（紫） (バリケードなし),보라색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Fioletowy (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Фиолетовый промышленная дверь V3 (Без Баррикады),Mor Ticari Kapı V3 (Barikat Yok),紫色商业门 V3 (无障碍),紫色商業門 V3 (無障礙)
JC_commercialDoorV3Red_NoBarricade,blocks,block,,,Red Commercial Door V3 (No Barricade),,Rote Industrietür V3 (Ohne Barrikade),Puerta comercial Rojo V3 (Sin Barricada),Porte de commerce Rougehe V3 (Sans Barrière),Porta di emergenza Rosso V3 (Senza Barriera),業務用ドア V3（赤） (バリケードなし),빨간색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Czerwony (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Красный промышленная дверь V3 (Без Баррикады),Kırmızı Ticari Kapı V3 (Barikat Yok),红色商业门 V3 (无障碍),紅色商業門 V3 (無障礙)
JC_commercialDoorV3White_NoBarricade,blocks,block,,,White Commercial Door V3 (No Barricade),,Weiße Industrietür V3 (Ohne Barrikade),Puerta comercial Blanco V3 (Sin Barricada),Porte de commerce Blanche V3 (Sans Barrière),Porta di emergenza Bianco V3 (Senza Barriera),業務用ドア V3（白） (バリケードなし),흰색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Biały (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Белый промышленная дверь V3 (Без Баррикады),Beyaz Ticari Kapı V3 (Barikat Yok),白色商业门 V3 (无障碍),白色商業門 V3 (無障礙)
JC_commercialDoorV3Yellow_NoBarricade,blocks,block,,,Yellow Commercial Door V3 (No Barricade),,Gelbe Industrietür V3 (Ohne Barrikade),Puerta comercial Amarillo V3 (Sin Barricada),Porte de commerce Jaunehe V3 (Sans Barrière),Porta di emergenza Giallo V3 (Senza Barriera),業務用ドア V3（黄色） (バリケードなし),노란색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – Żółty (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Жёлтый промышленная дверь V3 (Без Баррикады),Sarı Ticari Kapı V3 (Barikat Yok),黄色商业门 V3 (无障碍),黃色商業門 V3 (無障礙)
JC_commercialDoorV3_NoBarricadeBlockVariantHelper,blocks,block,,,Commercial Door V3 (No Barricade),,Weiße Industrietür V3 (Ohne Barrikade),Puerta comercial blanca V3 (Sin Barricada),Porte de commerce blanche V3 (Sans Barrière),Porta di emergenza bianca V3 (Senza Barriera),業務用ドア V3（白） (バリケードなし),흰색 상업용 문 V3 (방어막 없음),Drzwi przedsiębiorstwa V3 – białe (Bez Wzmocnienia),Porta comercial branca V3 (Sem Barreira),Белая промышленная дверь V3 (Без Баррикады),Beyaz Ticari Kapı V3 (Barikat Yok),白色商业门 V3 (无障碍),白色商業門 V3 (無障礙)
JC_commercialDoorV4Blue_NoBarricade,blocks,block,,,Blue Commercial Door V4 (No Barricade),,Blaue Industrietür V4 (Ohne Barrikade),Puerta comercial Azul V4 (Sin Barricada),Porte de commerce Bleuhe V4 (Sans Barrière),Porta di emergenza Blu V4 (Senza Barriera),業務用ドア V4（青） (バリケードなし),파란색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Niebieski (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Синий промышленная дверь V4 (Без Баррикады),Mavi Ticari Kapı V4 (Barikat Yok),蓝色商业门 V4 (无障碍),藍色商業門 V4 (無障礙)
JC_commercialDoorV4Brown_NoBarricade,blocks,block,,,Brown Commercial Door V4 (No Barricade),,Braune Industrietür V4 (Ohne Barrikade),Puerta comercial Marrón V4 (Sin Barricada),Porte de commerce Marronhe V4 (Sans Barrière),Porta di emergenza Marrone V4 (Senza Barriera),業務用ドア V4（茶色） (バリケードなし),갈색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Brązowy (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Коричневый промышленная дверь V4 (Без Баррикады),Kahverengi Ticari Kapı V4 (Barikat Yok),棕色商业门 V4 (无障碍),棕色商業門 V4 (無障礙)
JC_commercialDoorV4Green_NoBarricade,blocks,block,,,Green Commercial Door V4 (No Barricade),,Grüne Industrietür V4 (Ohne Barrikade),Puerta comercial Verde V4 (Sin Barricada),Porte de commerce Verthe V4 (Sans Barrière),Porta di emergenza Verde V4 (Senza Barriera),業務用ドア V4（緑） (バリケードなし),초록색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Zielony (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Зелёный промышленная дверь V4 (Без Баррикады),Yeşil Ticari Kapı V4 (Barikat Yok),绿色商业门 V4 (无障碍),綠色商業門 V4 (無障礙)
JC_commercialDoorV4Grey_NoBarricade,blocks,block,,,Gray Commercial Door V4 (No Barricade),,Graue Industrietür V4 (Ohne Barrikade),Puerta comercial Gris V4 (Sin Barricada),Porte de commerce Grishe V4 (Sans Barrière),Porta di emergenza Grigio V4 (Senza Barriera),業務用ドア V4（灰色） (バリケードなし),회색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Szary (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Серый промышленная дверь V4 (Без Баррикады),Gri Ticari Kapı V4 (Barikat Yok),灰色商业门 V4 (无障碍),灰色商業門 V4 (無障礙)
JC_commercialDoorV4Oak_NoBarricade,blocks,block,,,White Commercial Door V4 (No Barricade),,Weiße Industrietür V4 (Ohne Barrikade),Puerta comercial blanca V4 (Sin Barricada),Porte de commerce blanche V4 (Sans Barrière),Porta di emergenza bianca V4 (Senza Barriera),業務用ドア V4（白） (バリケードなし),흰색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – białe (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Белая промышленная дверь V4 (Без Баррикады),Beyaz Ticari Kapı V4 (Barikat Yok),白色商业门 V4 (无障碍),白色商業門 V4 (無障礙)
JC_commercialDoorV4Orange_NoBarricade,blocks,block,,,Orange Commercial Door V4 (No Barricade),,Orangee Industrietür V4 (Ohne Barrikade),Puerta comercial Naranja V4 (Sin Barricada),Porte de commerce Orangehe V4 (Sans Barrière),Porta di emergenza Arancione V4 (Senza Barriera),業務用ドア V4（オレンジ） (バリケードなし),오렌지색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Pomarańczowy (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Оранжевый промышленная дверь V4 (Без Баррикады),Turuncu Ticari Kapı V4 (Barikat Yok),橙色商业门 V4 (无障碍),橙色商業門 V4 (無障礙)
JC_commercialDoorV4Pink_NoBarricade,blocks,block,,,Pink Commercial Door V4 (No Barricade),,Rosae Industrietür V4 (Ohne Barrikade),Puerta comercial Rosa V4 (Sin Barricada),Porte de commerce Rosehe V4 (Sans Barrière),Porta di emergenza Rosa V4 (Senza Barriera),業務用ドア V4（ピンク） (バリケードなし),분홍색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Różowy (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Розовый промышленная дверь V4 (Без Баррикады),Pembe Ticari Kapı V4 (Barikat Yok),粉色商业门 V4 (无障碍),粉紅色商業門 V4 (無障礙)
JC_commercialDoorV4Purple_NoBarricade,blocks,block,,,Purple Commercial Door V4 (No Barricade),,Lilae Industrietür V4 (Ohne Barrikade),Puerta comercial Púrpura V4 (Sin Barricada),Porte de commerce Violethe V4 (Sans Barrière),Porta di emergenza Viola V4 (Senza Barriera),業務用ドア V4（紫） (バリケードなし),보라색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Fioletowy (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Фиолетовый промышленная дверь V4 (Без Баррикады),Mor Ticari Kapı V4 (Barikat Yok),紫色商业门 V4 (无障碍),紫色商業門 V4 (無障礙)
JC_commercialDoorV4Red_NoBarricade,blocks,block,,,Red Commercial Door V4 (No Barricade),,Rote Industrietür V4 (Ohne Barrikade),Puerta comercial Rojo V4 (Sin Barricada),Porte de commerce Rougehe V4 (Sans Barrière),Porta di emergenza Rosso V4 (Senza Barriera),業務用ドア V4（赤） (バリケードなし),빨간색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Czerwony (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Красный промышленная дверь V4 (Без Баррикады),Kırmızı Ticari Kapı V4 (Barikat Yok),红色商业门 V4 (无障碍),紅色商業門 V4 (無障礙)
JC_commercialDoorV4White_NoBarricade,blocks,block,,,White Commercial Door V4 (No Barricade),,Weiße Industrietür V4 (Ohne Barrikade),Puerta comercial Blanco V4 (Sin Barricada),Porte de commerce Blanche V4 (Sans Barrière),Porta di emergenza Bianco V4 (Senza Barriera),業務用ドア V4（白） (バリケードなし),흰색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Biały (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Белый промышленная дверь V4 (Без Баррикады),Beyaz Ticari Kapı V4 (Barikat Yok),白色商业门 V4 (无障碍),白色商業門 V4 (無障礙)
JC_commercialDoorV4Yellow_NoBarricade,blocks,block,,,Yellow Commercial Door V4 (No Barricade),,Gelbe Industrietür V4 (Ohne Barrikade),Puerta comercial Amarillo V4 (Sin Barricada),Porte de commerce Jaunehe V4 (Sans Barrière),Porta di emergenza Giallo V4 (Senza Barriera),業務用ドア V4（黄色） (バリケードなし),노란색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – Żółty (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Жёлтый промышленная дверь V4 (Без Баррикады),Sarı Ticari Kapı V4 (Barikat Yok),黄色商业门 V4 (无障碍),黃色商業門 V4 (無障礙)
JC_commercialDoorV4_NoBarricadeBlockVariantHelper,blocks,block,,,Commercial Door V4 (No Barricade),,Weiße Industrietür V4 (Ohne Barrikade),Puerta comercial blanca V4 (Sin Barricada),Porte de commerce blanche V4 (Sans Barrière),Porta di emergenza bianca V4 (Senza Barriera),業務用ドア V4（白） (バリケードなし),흰색 상업용 문 V4 (방어막 없음),Drzwi przedsiębiorstwa V4 – białe (Bez Wzmocnienia),Porta comercial branca V4 (Sem Barreira),Белая промышленная дверь V4 (Без Баррикады),Beyaz Ticari Kapı V4 (Barikat Yok),白色商业门 V4 (无障碍),白色商業門 V4 (無障礙)
JC_commercialGlassDoorDouble_NoBarricade,blocks,block,,,Commercial Glass Door Double (No Barricade),,Kommerzielle Glas-Doppeltür (Ohne Barrikade),Puerta comercial de cristal doble (Sin Barricada),Double porte de commerce en verre (Sans Barrière),Porta di vetro doppia commerciale (Senza Barriera),業務用ガラスドア（ダブル） (バリケードなし),상업용 유리 문 더블 (방어막 없음),"Drzwi przedsiębiorstwa – szklane, podwójne (Bez Wzmocnienia)",Porta comercial de vidro dupla (Sem Barreira),Промышленная двойная стеклянная дверь (Без Баррикады),Çift Kanatlı Ticari Cam Kapı (Barikat Yok),商业玻璃双开门 (无障碍),商業玻璃雙門 (無障礙)
JC_commercialGlassDoor_NoBarricade,blocks,block,,,Commercial Glass Door (No Barricade),,Kommerzielle Glastür (Ohne Barrikade),Puerta comercial de cristal (Sin Barricada),Porte de commerce en verre (Sans Barrière),Porta di vetro commerciale (Senza Barriera),業務用ガラスドア (バリケードなし),상업용 유리 문 (방어막 없음),Drzwi przedsiębiorstwa – szklane (Bez Wzmocnienia),Porta comercial de vidro (Sem Barreira),Промышленная стеклянная дверь (Без Баррикады),Ticari Cam Kapı (Barikat Yok),商业玻璃门 (无障碍),商業玻璃門 (無障礙)
JC_commercialGlassDoor_NoBarricadeBlockVariantHelper,blocks,block,,,Commercial Glass Door (No Barricade),,Kommerzielle Glastür (Ohne Barrikade),Puerta comercial de cristal (Sin Barricada),Porte de commerce en verre (Sans Barrière),Porta di vetro commerciale (Senza Barriera),業務用ガラスドア (バリケードなし),상업용 유리 문 (방어막 없음),Drzwi przedsiębiorstwa – szklane (Bez Wzmocnienia),Porta comercial de vidro (Sem Barreira),Промышленная стеклянная дверь (Без Баррикады),Ticari Cam Kapı (Barikat Yok),商业玻璃门 (无障碍),商業玻璃門 (無障礙)
JC_commercialSlidingDoor_NoBarricade,blocks,block,,,Commercial Sliding Door (No Barricade),,Kommerzielle Schiebetür (Ohne Barrikade),Puerta comercial de cristal corrediza (Sin Barricada),Porte coulissante de commerce (Sans Barrière),Porta scorrevole commerciale (Senza Barriera),業務用スライドドア (バリケードなし),상업용 미닫이 문 (방어막 없음),Drzwi przedsiębiorstwa – przesuwane (Bez Wzmocnienia),Porta corrediça comercial (Sem Barreira),Промышленная раздвижная дверь (Без Баррикады),Ticari Sürgülü Kapı (Barikat Yok),商业推拉门 (无障碍),商業拉門 (無障礙)
JC_elevatorDoor_BlockVariantHelper,blocks,block,,,Elevator Door,,Aufzugtür,Puerta de ascensor,Porte d'ascenseur,Porta dell'ascensore,エレベータードア,엘리베이터 문,Winda – drzwi,Porta de elevador,Дверь лифта,Asansör Kapısı,电梯门,電梯門
JC_exteriorHouseDoorBlue_NoBarricade,blocks,block,,,Blue Exterior House Door (No Barricade),,"Blaue Tür, Hausaußenseite (Ohne Barrikade)",Puerta exterior de la casa Azul (Sin Barricada),"Porte, extérieur de maison, Bleuhe (Sans Barrière)",Porta di casa esterna Blu (Senza Barriera),住宅用室外ドア（青） (バリケードなし),파란색 외부 집 문 (방어막 없음),Zewnętrzne drzwi do domu – Niebieski (Bez Wzmocnienia),Porta exterior de casa branca (Sem Barreira),Синий входная дверь (Без Баррикады),Mavi Dış Ev Kapısı (Barikat Yok),蓝色室外门 (无障碍),藍色室外房屋門 (無障礙)
JC_exteriorHouseDoorBrown_NoBarricade,blocks,block,,,Brown Exterior House Door (No Barricade),,"Braune Tür, Hausaußenseite (Ohne Barrikade)",Puerta exterior de la casa Marrón (Sin Barricada),"Porte, extérieur de maison, Marronhe (Sans Barrière)",Porta di casa esterna Marrone (Senza Barriera),住宅用室外ドア（茶色） (バリケードなし),갈색 외부 집 문 (방어막 없음),Zewnętrzne drzwi do domu – Brązowy (Bez Wzmocnienia),Porta exterior de casa branca (Sem Barreira),Коричневый входная дверь (Без Баррикады),Kahverengi Dış Ev Kapısı (Barikat Yok),棕色室外门 (无障碍),棕色室外房屋門 (無障礙)
JC_exteriorHouseDoorDoubleBlue_NoBarricade,blocks,block,,,Blue Exterior House Double Door (No Barricade),,"Blaue Doppeltür, Hausaußenseite (Ohne Barrikade)",Puerta doble exterior de la casa Azul (Sin Barricada),"Double porte, extérieur de maison, Bleuhe (Sans Barrière)",Doppia porta di casa esterna Blu (Senza Barriera),住宅用室外ダブルドア（青） (バリケードなし),파란색 외부 집 이중문 (방어막 없음),"Zewnętrzne drzwi do domu – Niebieski, podwójne (Bez Wzmocnienia)",Porta exterior dupla de casa branca (Sem Barreira),Синий двойная входная дверь (Без Баррикады),Çift Kanatlı Mavi Dış Ev Kapısı (Barikat Yok),蓝色室外双开门 (无障碍),藍色室外房屋雙門 (無障礙)
JC_exteriorHouseDoorDoubleBrown_NoBarricade,blocks,block,,,Brown Exterior House Double Door (No Barricade),,"Braune Doppeltür, Hausaußenseite (Ohne Barrikade)",Puerta doble exterior de la casa Marrón (Sin Barricada),"Double porte, extérieur de maison, Marronhe (Sans Barrière)",Doppia porta di casa esterna Marrone (Senza Barriera),住宅用室外ダブルドア（茶色） (バリケードなし),갈색 외부 집 이중문 (방어막 없음),"Zewnętrzne drzwi do domu – Brązowy, podwójne (Bez Wzmocnienia)",Porta exterior dupla de casa branca (Sem Barreira),Коричневый двойная входная дверь (Без Баррикады),Çift Kanatlı Kahverengi Dış Ev Kapısı (Barikat Yok),棕色室外双开门 (无障碍),棕色室外房屋雙門 (無障礙)
JC_exteriorHouseDoorDoubleGreen_NoBarricade,blocks,block,,,Green Exterior House Double Door (No Barricade),,"Grüne Doppeltür, Hausaußenseite (Ohne Barrikade)",Puerta doble exterior de la casa Verde (Sin Barricada),"Double porte, extérieur de maison, Verthe (Sans Barrière)",Doppia porta di casa esterna Verde (Senza Barriera),住宅用室外ダブルドア（緑） (バリケードなし),초록색 외부 집 이중문 (방어막 없음),"Zewnętrzne drzwi do domu – Zielony, podwójne (Bez Wzmocnienia)",Porta exterior dupla de casa branca (Sem Barreira),Зелёный двойная входная дверь (Без Баррикады),Çift Kanatlı Yeşil Dış Ev Kapısı (Barikat Yok),绿色室外双开门 (无障碍),綠色室外房屋雙門 (無障礙)
